Date,Open,High,Low,Close,Adj Close,Volume,Ticker,EMA12,EMA26,MACD,MA5
2025-03-25,790645.0,799502.0,788700.0,792966.0,792966.0,1700,BRK-A,776639.2646160474,758903.5767074929,17735.68790855445,789411.0
2025-03-26,796054.0,806024.0,794601.0,798963.0,798963.0,1800,BRK-A,780073.6854443478,761870.9413958269,18202.744048520923,791227.6
2025-03-27,798427.0,805833.0,794303.0,801950.0,801950.0,1900,BRK-A,783439.2722990635,764839.7605516915,18599.511747371987,793041.6
2025-03-28,803222.0,803449.0,787100.0,790250.0,790250.0,2100,BRK-A,784487.0765607461,766722.0005108255,17765.07604992052,794755.6
2025-03-31,781811.0,804461.0,778716.0,798442.0,798442.0,2500,BRK-A,786633.9878590928,769071.6301026162,17562.357756476616,796514.2
2025-04-01,798058.0,804096.0,791272.0,800300.0,800300.0,2100,BRK-A,788736.4512653863,771384.8426876075,17351.608577778796,797981.0
2025-04-02,797927.0,808030.0,795480.0,806684.0,806684.0,1700,BRK-A,791497.612609173,773999.595081118,17498.017528055003,799525.2
2025-04-03,790616.0,807838.0,786761.0,794514.0,794514.0,1100,BRK-A,791961.6722077619,775519.1806306648,16442.4915770971,798038.0
2025-04-04,776929.0,779944.0,739478.0,742540.0,742540.0,1500,BRK-A,784358.3380219524,773076.2783617267,11282.059660225757,788496.0
2025-04-07,702098.0,757493.0,695517.0,737000.0,737000.0,1900,BRK-A,777072.439864729,770403.9614460432,6668.478418685729,776207.6
2025-04-08,763357.0,773910.0,726481.0,739101.0,739101.0,900,BRK-A,771230.6798855398,768085.2235611512,3145.4563243886223,763967.8
2025-04-09,738283.0,784890.0,727962.0,778421.0,778421.0,900,BRK-A,772336.8829800722,768850.8366306956,3486.0463493765565,758315.2
2025-04-10,777791.0,780269.0,747842.0,774000.0,774000.0,600,BRK-A,772592.7471369841,769232.256139533,3360.4909974511247,754212.4
2025-04-11,775969.0,789300.0,766666.0,784000.0,784000.0,600,BRK-A,774347.7091159096,770326.1630921601,4021.5460237495136,762504.4
2025-04-14,796354.0,804250.0,790050.0,793788.0,793788.0,700,BRK-A,777338.5230980774,772064.0769371854,5274.446160892025,773862.0
2025-04-15,799709.0,803560.0,791250.0,792500.0,792500.0,400,BRK-A,779671.0580060654,773577.8490159124,6093.208990153042,784541.8
2025-04-16,794256.0,794950.0,769941.0,774261.0,774261.0,500,BRK-A,778838.7413897477,773628.4527925114,5210.288597236271,783709.8
2025-04-17,777941.0,785888.0,772940.0,778833.0,778833.0,300,BRK-A,778837.8580990173,774013.974807881,4823.883291136241,784676.4
2025-04-21,775235.0,777363.0,748383.0,760489.0,760489.0,500,BRK-A,776014.9568530146,773012.1248221121,3002.8320309025003,779974.2
2025-04-22,770396.0,782934.0,767526.0,780000.0,780000.0,400,BRK-A,776628.0404140893,773529.7452056594,3098.2952084299177,777216.6
2025-04-23,792086.0,798100.0,786000.0,788799.0,788799.0,500,BRK-A,778500.4957349987,774660.8011163513,3839.6946186474524,776476.4
2025-04-24,789724.0,799022.0,785589.0,797140.0,797140.0,400,BRK-A,781368.1117757682,776325.9269595845,5042.184816183755,781052.2
2025-04-25,797963.0,798000.0,790778.0,795760.0,795760.0,300,BRK-A,783582.2484256501,777765.4879255411,5816.76050010894,784437.6
2025-04-28,800630.0,804977.0,790120.0,797750.0,797750.0,500,BRK-A,785761.9025140116,779245.8221532789,6516.08036073274,791889.8
2025-04-29,798288.0,802868.0,792771.0,801340.0,801340.0,500,BRK-A,788158.5328964714,780882.4279197027,7276.104976768722,796157.8
2025-04-30,798258.0,803232.0,786414.0,800540.0,800540.0,500,BRK-A,790063.373989322,782338.544370095,7724.829619226977,798506.0
2025-05-01,798237.0,799620.0,792772.0,795400.0,795400.0,400,BRK-A,790884.3933755801,783306.0596019399,7578.333773640217,798158.0
2025-05-02,803783.0,812855.0,802875.0,809350.0,809350.0,500,BRK-A,793725.2559331831,785235.2403721665,8490.015561016626,800876.0
2025-05-05,780921.0,781570.0,754568.0,769960.0,769960.0,1200,BRK-A,790069.0627126935,784103.7410853393,5965.321627354133,795318.0
2025-05-06,765369.0,773351.0,761930.0,768000.0,768000.0,400,BRK-A,786673.822295356,782910.8713753142,3762.950920041767,788650.0
2025-05-07,773052.0,780078.0,770000.0,778173.0,778173.0,300,BRK-A,785366.0034806859,782559.9179401058,2806.0855405800976,784176.6
2025-05-08,780092.0,782014.0,769000.0,769000.0,769000.0,400,BRK-A,782848.1567913496,781555.479574172,1292.6772171776975,778896.6
2025-05-09,771754.0,773960.0,765612.0,770999.0,770999.0,300,BRK-A,781025.2095926804,780773.5181242333,251.69146844709758,771226.4
2025-05-12,779849.0,779853.0,765615.0,772100.0,772100.0,600,BRK-A,779652.1004245757,780131.035300216,-478.93487564031966,771654.4
2025-05-13,771963.0,774033.0,767000.0,767000.0,767000.0,500,BRK-A,777705.6234361795,779158.3660187186,-1452.7425825390965,771454.4
2025-05-14,767778.0,767778.0,753215.0,753215.0,753215.0,600,BRK-A,773937.8352152287,777236.6352025172,-3298.7999872884247,766462.8
2025-05-15,753969.0,764563.0,751890.0,759100.0,759100.0,400,BRK-A,771655.0913359628,775893.1807430715,-4238.089407108724,764482.8
2025-05-16,762266.0,771080.0,759237.0,770660.0,770660.0,400,BRK-A,771502.0003611993,775505.5377250662,-4003.537363866926,764415.0
2025-05-19,770318.0,770318.0,765000.0,767200.0,767200.0,300,BRK-A,770840.154151784,774890.3127083946,-4050.1585566105787,763435.0
2025-05-20,767396.0,768000.0,760000.0,762320.0,762320.0,300,BRK-A,769529.3612053557,773959.1784336986,-4429.817228342872,762499.0
2025-05-21,761265.0,764503.0,758823.0,761380.0,761380.0,400,BRK-A,768275.6133276087,773027.3874386098,-4751.77411100117,764132.0
2025-05-22,759110.0,761895.0,754384.0,756250.0,756250.0,300,BRK-A,766425.5189695151,771784.6179987128,-5359.099029197707,763562.0
2025-05-23,750000.0,758095.0,750000.0,754505.0,754505.0,300,BRK-A,764591.592974205,770504.6462951044,-5913.053320899373,760331.0
2025-05-27,759403.0,764310.0,756432.0,760100.0,760100.0,500,BRK-A,763900.5786704811,769733.9317547263,-5833.353084245231,758911.0
2025-05-28,762239.0,763222.0,754345.0,754820.0,754820.0,300,BRK-A,762503.5665673302,768629.1960691911,-6125.629501860938,757411.0
2025-05-29,756495.0,759500.0,752142.0,758577.0,758577.0,400,BRK-A,761899.4794031256,767884.5889529547,-5985.109549829154,756850.4
