Date,Open,High,Low,Close,Adj Close,Volume,Ticker,EMA12,EMA26,MACD,MA5
2025-01-02,365.510009765625,368.8500061035156,358.0899963378906,359.7699890136719,356.7381896972656,1802600,CAT,359.7699890136719,359.7699890136719,0.0,
2025-01-03,361.5899963378906,364.4800109863281,359.489990234375,363.7900085449219,360.724365234375,1390800,CAT,360.3884535569411,360.0677682382089,0.32068531873221673,
2025-01-06,367.0,370.8399963378906,362.5799865722656,364.20001220703125,361.1308898925781,1590700,CAT,360.9748471954165,360.3738603840476,0.6009868113688981,
2025-01-07,364.1300048828125,366.0899963378906,361.0899963378906,363.0,359.9410095214844,1607400,CAT,361.28640916535244,360.56838924448846,0.7180199208639806,
2025-01-08,362.45001220703125,362.8800048828125,357.70001220703125,361.07000732421875,358.02728271484375,1828800,CAT,361.25311657440875,360.6055461392833,0.6475704351254308,362.3660034179687
2025-01-10,357.8299865722656,359.8500061035156,349.79998779296875,351.0,348.0421142578125,2773900,CAT,359.6757140244997,359.8940242030401,-0.21831017854037782,360.61200561523435
2025-01-13,352.9599914550781,363.20001220703125,351.79998779296875,362.5,359.4452209472656,2746000,CAT,360.11021955919205,360.0870594472593,0.023160111932725158,360.35400390625
2025-01-14,365.489990234375,372.0,365.17999267578125,371.57000732421875,368.43878173828125,2331700,CAT,361.87326383073463,360.9376481788859,0.9356156518487069,361.8280029296875
2025-01-15,379.1400146484375,379.94000244140625,374.3299865722656,374.8900146484375,371.7308349609375,1984500,CAT,363.87584087961204,361.9711568062601,1.9046840733519161,364.206005859375
2025-01-16,376.30999755859375,381.4200134277344,374.7200012207031,380.54998779296875,377.34307861328125,1974700,CAT,366.4410942508977,363.3473665089793,3.0937277419184284,368.102001953125
2025-01-17,384.70001220703125,386.8500061035156,382.0,386.0199890136719,382.7669982910156,2605900,CAT,369.4532319067091,365.0268200278454,4.426411878863689,375.1059997558594
2025-01-21,391.0,402.5799865722656,390.79998779296875,398.3599853515625,396.45111083984375,3144500,CAT,373.9004247443789,367.4959433851578,6.4044813592211085,382.2779968261719
2025-01-22,398.67999267578125,400.4800109863281,395.1099853515625,397.6099853515625,395.7046813964844,1994800,CAT,377.54804945317636,369.726613160447,7.821436292729345,387.4859924316406
2025-01-23,397.3699951171875,409.5899963378906,397.2699890136719,406.3999938964844,404.45257568359375,2587400,CAT,381.9868101367622,372.4431598816349,9.543650255127261,393.78798828125
2025-01-24,405.7300109863281,409.3999938964844,405.2799987792969,407.6300048828125,405.67669677734375,1938200,CAT,385.93191702076996,375.0495928446851,10.882324176084865,399.20399169921876
2025-01-27,397.19000244140625,399.5400085449219,389.9200134277344,394.9800109863281,393.0873107910156,2964400,CAT,387.32393147700964,376.5259201144364,10.79801136257322,400.99599609375
2025-01-28,394.0400085449219,396.8800048828125,386.4800109863281,390.2900085449219,388.4197998046875,1788900,CAT,387.7802510259192,377.5454822203983,10.2347688055209,399.3820007324219
2025-01-29,391.94000244140625,399.3599853515625,391.1199951171875,393.2300109863281,391.345703125,2675800,CAT,388.61867563521287,378.7072991660227,9.911376469190145,398.506005859375
2025-01-30,373.5,380.80999755859375,373.1600036621094,374.9800109863281,373.18316650390625,4234600,CAT,386.52041953538446,378.4312037453046,8.08921579007989,392.2220092773438
2025-01-31,377.4599914550781,378.0,371.2799987792969,371.44000244140625,369.6601257324219,2859000,CAT,384.20035536708014,377.91333698205284,6.287018385027295,384.9840087890625
2025-02-03,364.1400146484375,368.54998779296875,359.69000244140625,361.54998779296875,359.8175048828125,3079300,CAT,380.7156834326015,376.7012370421207,4.014446390480828,378.2980041503906
2025-02-04,369.6600036621094,369.6600036621094,359.4100036621094,361.95001220703125,360.2156066894531,2709800,CAT,377.8286570902061,375.608553721003,2.220103369203116,372.6300048828125
2025-02-05,362.8699951171875,363.0,357.20001220703125,358.8500061035156,357.1304626464844,2134200,CAT,374.90886463071524,374.36717982341133,0.5416848073039091,365.75400390625
2025-02-06,363.8999938964844,367.5400085449219,362.5199890136719,365.45001220703125,363.6988220214844,3007000,CAT,373.4536565655331,373.70664888886466,-0.2529923233315685,363.84800415039064
2025-02-07,369.25,369.5299987792969,362.5799865722656,363.8800048828125,362.1363525390625,1804800,CAT,371.98078707588377,372.97874933286084,-0.9979622569770754,362.33600463867185
2025-02-10,365.3299865722656,366.239990234375,361.54998779296875,363.2200012207031,361.4794921875,1944400,CAT,370.6329738673944,372.2558791023306,-1.6229052349361837,362.6700073242188
2025-02-11,361.739990234375,364.4200134277344,360.9800109863281,362.2300109863281,360.4942626953125,1516900,CAT,369.34021034723037,371.5132222048489,-2.173011857618519,362.72600708007815
2025-02-12,357.0,358.92999267578125,351.44000244140625,352.0400085449219,350.35308837890625,2833100,CAT,366.67864083918295,370.07076193374314,-3.3921210945601956,361.3640075683594
2025-02-13,352.57000732421875,357.5899963378906,350.4200134277344,353.70001220703125,352.005126953125,3547200,CAT,364.6819287419288,368.8581138058385,-4.176185063909713,359.0140075683594
