Date,Open,High,Low,Close,Adj Close,Volume,Ticker,EMA12,EMA26,MACD,MA5
2025-01-02,145.22999572753906,145.77000427246094,143.77999877929688,144.02000427246094,141.661865234375,6051300,JNJ,144.02000427246094,144.02000427246094,0.0,
2025-01-03,144.07000732421875,144.57000732421875,143.6199951171875,144.19000244140625,141.8291015625,5878800,JNJ,144.04615783691406,144.03259672941985,0.01356110749421191,
2025-01-06,143.50999450683594,144.82000732421875,142.92999267578125,143.66000366210938,141.30776977539062,7910500,JNJ,143.98674950232873,144.00499724295238,-0.01824774062365009,
2025-01-07,143.75999450683594,147.17999267578125,143.58999633789062,146.22999572753906,143.83567810058594,8422000,JNJ,144.33186430620725,144.16981194551437,0.16205236069288276,
2025-01-08,145.49000549316406,145.58999633789062,141.44000244140625,142.27000427246094,139.94052124023438,11175600,JNJ,144.01465507024628,144.0290854512141,-0.014430380967809242,144.07400207519532
2025-01-10,141.0,143.6699981689453,140.67999267578125,142.05999755859375,139.7339630126953,8821500,JNJ,143.71393852999205,143.88322708879775,-0.16928855880570381,143.68200073242187
2025-01-13,142.97999572753906,145.07000732421875,142.30999755859375,144.47000122070312,142.10450744628906,10376400,JNJ,143.8302558670245,143.92669183930926,-0.09643597228475187,143.73800048828124
2025-01-14,144.5,144.80999755859375,142.86000061035156,144.75,142.3799285888672,8681700,JNJ,143.97175496440533,143.98767762899007,-0.015922664584735458,143.95599975585938
2025-01-15,145.30999755859375,146.0500030517578,144.25999450683594,144.97000122070312,142.5963134765625,7434600,JNJ,144.12533131152807,144.06044233948734,0.06488897204073396,143.7040008544922
2025-01-16,144.32000732421875,148.07000732421875,144.05999755859375,147.77000427246094,145.3504638671875,8964000,JNJ,144.68605022859467,144.3352247048928,0.3508255237018716,144.8040008544922
2025-01-17,147.44000244140625,148.3800048828125,146.61000061035156,147.02999877929688,144.62258911132812,10773100,JNJ,145.04665769793345,144.5348375992931,0.5118200986403565,145.79800109863282
2025-01-21,147.55999755859375,148.86000061035156,147.0500030517578,148.14999389648438,145.7242431640625,11111700,JNJ,145.52409403617204,144.8026269546406,0.7214670815314435,146.53399963378905
2025-01-22,144.0,145.47000122070312,142.11000061035156,145.27000427246094,142.8914031982422,16834700,JNJ,145.4850033032934,144.83724749670137,0.6477558065920448,146.63800048828125
